Id_hecho,Victimas,Fecha,Hora,Tipo_calle,Cruce,Direccion,Comuna,Longitud,Latitud,Tipo_victima,Tipo_acusado,Rol,Sexo,Edad,Fecha_fallecimiento
2016-0047,1,2016-04-15,5,calle,,Lima 1483,1,-58.38247061,-34.62571878,peaton,pasajeros,peaton,masculino,41.0,2016-04-15
2016-0048,1,2016-04-15,17,avenida,Dorrego av.,Corrientes av. y dorrego av.,15,-58.44759966,-34.5917024,peaton,pasajeros,peaton,femenino,,
2016-0049,1,2016-04-17,0,autopista,,Autopista 1 sur presidente arturo frondizi,4,-58.37714647568196,-34.63657525428238,,,,,,
2016-0050,1,2016-04-19,9,avenida,"Fernandez de la cruz, f., gral. av.","Gordillo, timoteo y fernandez de la cruz, f., gral. av.",8,-58.47305463,-34.68550712,peaton,pasajeros,peaton,masculino,78.0,2016-04-19
2016-0051,1,2016-04-20,4,avenida,"Bonavena, oscar natalio","Alcorta, amancio av. y bonavena, oscar natalio",4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,36.0,2016-04-20
2016-0052,1,2016-04-20,20,autopista,,Autopista lugones pk 10000,13,,,moto,,,,,
2016-0053,1,2016-04-22,9,avenida,Olazabal av.,Triunvirato av. y olazabal av.,12,-58.4842918,-34.57558053,peaton,pasajeros,peaton,masculino,38.0,2016-04-22
2016-0054,1,2016-04-23,21,autopista,"Paz, gral. av.","Autopista dellepiane luis tte. gral. y paz, gral. av.",8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,30.0,2016-04-25
2016-0055,1,2016-04-25,20,avenida,"Figueroa alcorta, pres. av.","Castilla, ramon, mariscal y figueroa alcorta, pres. av.",14,-58.40021959,-34.57964781,peaton,cargas,peaton,masculino,79.0,2016-04-28
2016-0056,1,2016-04-26,4,avenida,,"Campos, luis m. av. 30",14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,26.0,2016-04-26
2016-0058,1,2016-05-04,14,calle,,Lima 1471,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,57.0,2016-05-08
2016-0059,1,2016-05-08,16,calle,Lima,Ciudadela y lima,1,-58.38222219,-34.62728101,peaton,pasajeros,peaton,masculino,37.0,2016-05-26
2016-0064,1,2016-05-14,18,avenida,Carrasco av.,"Justo, juan b. av. y carrasco av.",10,-58.49485242,-34.62953445,peaton,pasajeros,peaton,masculino,20.0,
2016-0065,1,2016-05-20,14,avenida,Espinosa,Gaona av. y espinosa,6,-58.45227946,-34.61068024,peaton,auto,peaton,masculino,20.0,2016-05-20
2016-0067,1,2016-05-21,17,avenida,Saraza,"De la torre, lisandro y saraza",8,-58.48455411,-34.6751276,moto,pasajeros,pasajero_acompañante,femenino,30.0,
2016-0068,1,2016-05-22,22,avenida,Pueyrredon av.,"Figueroa alcorta, pres. av. y pueyrredon av.",2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,58.0,
2016-0069,1,2016-05-23,3,avenida,Filiberto,Entre rios av. y filiberto,3,-58.39118948,-34.62704273,auto,cargas,conductor,masculino,30.0,2016-05-23
2016-0073,1,2016-06-11,15,calle,,"Magariã‘os cervantes, a. 3900",10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,23.0,
2016-0074,1,2016-06-12,6,gral paz,"Scapino, rodolfo","Paz, gral. av. y scapino, rodolfo",8,-58.49896559,-34.67732118,auto,auto,conductor,masculino,60.0,
2016-0075,1,2016-06-12,23,autopista,Miralla,Autopista dellepiane luis tte. gral. y miralla,8,-58.47461076,-34.66874679,peaton,auto,peaton,masculino,42.0,2016-06-12
2016-0076,1,2016-06-13,16,avenida,Camarones,San martin av. y camarones,15,-58.46210891,-34.60356211,peaton,pasajeros,peaton,femenino,53.0,2016-06-13
2016-0077,1,2016-06-13,21,avenida,"Alem, leandro n. av.","Peron, juan domingo, tte. general y alem, leandro n. av.",1,-58.3702777,-34.60536123,peaton,pasajeros,peaton,femenino,,
2016-0078,1,2016-06-13,23,avenida,Jujuy av.,Belgrano av. y jujuy av.,3,-58.40491455,-34.6146383,moto,moto,conductor,masculino,30.0,
2016-0079,1,2016-06-16,17,avenida,"Udaondo, guillermo av.","Del libertador av. y udaondo, guillermo av.",13,-58.45504154,-34.54864492,auto,auto,conductor,femenino,51.0,
2016-0080,1,2016-06-18,6,gral paz,Rivadavia av.,"Paz, gral. av. y rivadavia av.",9,-58.52927982,-34.63931752,auto,,conductor,masculino,60.0,
2016-0081,1,2016-06-22,7,avenida,Machain,"Larralde, crisologo av. y machain",12,-58.4872106,-34.55904606,moto,auto,conductor,masculino,40.0,
2016-0082,1,2016-06-27,18,avenida,,La plata av. 2384,4,-58.42273092,-34.64228803,peaton,auto,peaton,masculino,87.0,2016-07-05
2016-0083,1,2016-06-28,20,avenida,Puan,"Alberdi, juan bautista av. y puan",6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,76.0,2016-06-29
2016-0084,1,2016-06-29,22,calle,Tucuman,"Pellegrini, carlos y tucuman",1,-58.38110563,-34.60135531,peaton,pasajeros,peaton,masculino,57.0,2016-07-08
2016-0085,1,2016-06-29,22,avenida,Erezcano,"Rabanal, francisco, intendente av. y erezcano",4,-58.42378834,-34.657341,moto,otro,,masculino,,
2016-0086,1,2016-06-30,16,avenida,"Falcon, ramon l.,cnel.","Olivera av. y falcon, ramon l.,cnel.",10,-58.48727942,-34.63652467,peaton,pasajeros,peaton,masculino,75.0,2016-07-01
2016-0087,1,2016-07-03,0,autopista,,Autopista 1 sur presidente arturo frondizi y caseros av.,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,23.0,2016-07-03
2016-0088,1,2016-07-11,15,calle,Nu?ez,Ceretti y nuã‘ez,12,-58.5015175,-34.56767549,peaton,auto,peaton,femenino,70.0,2016-07-14
2016-0089,1,2016-07-14,6,autopista,La pampa,"Lugones, leopoldo av. y la pampa",13,-58.43233425,-34.55185825,peaton,auto,peaton,masculino,35.0,2016-07-14
2016-0090,1,2016-07-14,22,avenida,Rivadavia av.,"Salguero, jeronimo y rivadavia av.",5,-58.41971993,-34.6111224,peaton,pasajeros,peaton,masculino,60.0,2016-07-15
2016-0092,1,2016-07-15,11,gral paz,Del libertador av.,"Paz, gral. av. y del libertador av.",13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,24.0,2016-07-15
2016-0093,1,2016-07-17,3,avenida,"Mitre, emilio","Alberdi, juan bautista av. y mitre, emilio",6,-58.44362126,-34.62301748,auto,auto,conductor,masculino,35.0,2016-07-19
2016-0095,1,2016-07-23,6,avenida,Mosconi general av.,Mercedes y mosconi general av.,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,29.0,2016-07-23
2016-0096,1,2016-07-25,7,autopista,,Autopista dellepiane luis tte. gral.,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,,
2016-0097,1,2016-07-26,18,calle,Mexico,Solis y mexico,1,-58.39038605,-34.6156281,peaton,auto,peaton,masculino,80.0,2016-08-12
2016-0098,1,2016-07-27,16,avenida,Alberti,San juan av. y alberti,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,43.0,
2016-0099,1,2016-07-29,16,gral paz,"Paz, gral. av.","Mosconi general av. y paz, gral. av.",11,-58.52340614,-34.59798754,cargas,cargas,conductor,masculino,45.0,
2016-0100,1,2016-08-03,23,gral paz,Donado,"Paz, gral. av. y donado",12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,57.0,2016-08-03
2016-0101,1,2016-08-07,19,gral paz,"Chavez, jorge","Paz, gral. av. y chavez, jorge",9,-58.52932872,-34.65014993,,,,masculino,67.0,
2016-0102,1,2016-08-10,23,avenida,"Suarez, jose leon","Peron, eva av. y suarez, jose leon",9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,29.0,
2016-0104,1,2016-08-14,21,avenida,Santiago de compostela av.,Zinny y santiago de compostela av.,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,21.0,2016-08-15
2016-0105,1,2016-08-17,0,avenida,Fraga,"Lacroze, federico av. y fraga",15,-58.45343236,-34.58435809,peaton,pasajeros,peaton,masculino,19.0,2016-08-26
2016-0106,1,2016-08-19,21,avenida,Del libertador av.,"Pellegrini, carlos y del libertador av.",1,-58.38090932,-34.58927731,peaton,pasajeros,peaton,masculino,38.0,
2016-0107,1,2016-08-20,8,autopista,,Autopista 1 sur presidente arturo frondizi y don pedro de mendoza av.,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,21.0,
2016-0109,1,2016-08-24,5,autopista,Barragan,Autopista perito moreno y barragan,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,femenino,53.0,2016-08-24
2016-0110,1,2016-08-24,20,avenida,Carhue,"Alberdi, juan bautista av. y carhue",9,-58.51232237,-34.6590353,peaton,,peaton,masculino,57.0,
2016-0111,1,2016-08-25,9,autopista,La pampa,Lugones y la pampa,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,27.0,2016-08-25
2016-0112,1,2016-08-27,4,autopista,Autopista 1 sur presidente arturo frondizi,Autopista 25 de mayo y autopista 1 sur presidente arturo frondizi,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,24.0,2016-08-27
2016-0113,1,2016-08-27,16,avenida,Guardia nacional,"Alberdi, juan bautista av. y guardia nacional",9,-58.49603546,-34.64564271,peaton,pasajeros,peaton,femenino,60.0,
2016-0114,1,2016-08-31,11,calle,,"Salguero, jeronimo 1410",14,-58.41848605,-34.59394733,bicicleta,cargas,ciclista,femenino,55.0,2016-08-31
2016-0115,1,2016-09-02,11,calle,Tronador,Arias y tronador,12,-58.48935041,-34.54917673,,cargas,,masculino,,
2016-0116,1,2016-09-02,20,avenida,Escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,30.0,2016-09-02
2016-0117,1,2016-09-03,15,avenida,Tagle,Del libertador av. y tagle,14,-58.39936478,-34.58271474,auto,auto,conductor,masculino,43.0,
2016-0118,1,2016-09-04,3,autopista,,Autopista 1 sur presidente arturo frondizi km. 2.9,1,-58.37936704,-34.62694503,auto,auto,conductor,masculino,27.0,2016-09-04
2016-0119,1,2016-09-04,6,avenida,Triunvirato av.,"Larralde, crisologo av. y triunvirato av.",12,-58.49659234,-34.56353635,,,pasajero_acompañante,femenino,,
2016-0122,1,2016-09-13,7,avenida,,"Peron, eva av. 4233",9,-58.47256391,-34.65194557,bicicleta,pasajeros,ciclista,masculino,49.0,2016-09-13
2016-0123,1,2016-09-14,9,avenida,"Bonorino, esteban, cnel. av.","Asamblea av. y bonorino, esteban, cnel. av.",7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,58.0,
2016-0124,1,2016-09-16,15,avenida,Rivera indarte av.,Rivadavia av. y rivera indarte av.,7,-58.46271207,-34.62884871,peaton,pasajeros,peaton,masculino,67.0,
2016-0125,1,2016-09-17,12,autopista,"Alberdi, juan bautista av.","Autopista perito moreno y alberdi, juan bautista av.",10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,30.0,
2016-0126,2,2016-09-18,22,calle,Tinogasta,Irigoyen y tinogasta,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,37.0,
2016-0126,2,2016-09-18,22,calle,Tinogasta,Irigoyen y tinogasta,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompañante,masculino,60.0,
2016-0127,1,2016-09-24,10,avenida,"Roca, cnel. av.","Acosta, mariano y roca, cnel. av.",8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,50.0,
2016-0128,1,2016-10-02,11,avenida,Pavon av.,Castro y pavon av.,5,-58.41914024,-34.6305389,peaton,pasajeros,peaton,femenino,81.0,2016-10-02
2016-0130,1,2016-10-04,12,autopista,,Autopista 1 sur presidente arturo frondizi y brasil,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29.0,2016-10-04
2016-0131,1,2016-10-09,19,calle,,Mirave 3500,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,35.0,
2016-0132,1,2016-10-10,2,avenida,24 de noviembre,San juan av. y 24 de noviembre,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompañante,masculino,30.0,2016-10-10
2016-0133,1,2016-10-14,0,avenida,Sanchez de bustamante,Las heras general av. y sanchez de bustamante,14,-58.40204698,-34.5834269,moto,auto,conductor,masculino,41.0,2016-10-25
2016-0134,1,2016-10-23,5,avenida,2 de abril de 1982,Piedra buena av. y 2 de abril de 1982,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25.0,2016-10-23
2016-0135,1,2016-10-24,5,avenida,"Pinedo, int.","Figueroa alcorta, pres. av. y pinedo, int.",14,-58.42260225,-34.56403694,peaton,,peaton,masculino,29.0,2016-10-25
2016-0136,1,2016-10-25,0,autopista,,Au buenos aires - la plata km. 4,4,,,moto,cargas,conductor,,,
2016-0137,1,2016-10-25,0,avenida,Ladines,San martin av. y ladines,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,30.0,
2016-0138,1,2016-10-27,20,avenida,Blanco encalada,Cabildo av. y blanco encalada,13,-58.4590967,-34.55922742,bicicleta,cargas,ciclista,femenino,33.0,
2016-0139,1,2016-10-28,23,avenida,Dorrego av.,"Figueroa alcorta, pres. av. y dorrego av.",14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,femenino,35.0,
2016-0140,1,2016-10-31,2,avenida,Vuelta de obligado,Juramento av. y vuelta de obligado,13,-58.45566399,-34.56147293,pasajeros,pasajeros,pasajero_acompañante,masculino,20.0,
2016-0142,1,2016-11-05,23,avenida,"Ramos mejia, jose maria, dr. av.","Del libertador av. y ramos mejia, jose maria, dr. av.",1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,46.0,2016-11-05
2016-0143,1,2016-11-06,4,avenida,Escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,,conductor,masculino,35.0,
2016-0144,1,2016-11-07,12,avenida,,"Brown, alte. av. 984",4,-58.35975012,-34.63343907,peaton,pasajeros,peaton,masculino,83.0,
2016-0145,1,2016-11-07,20,avenida,La pampa,Del libertador av. y la pampa,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,39.0,2016-11-07
2016-0146,1,2016-11-09,20,avenida,Brasil,Pichincha av. y brasil,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,femenino,29.0,
2016-0147,1,2016-11-16,21,avenida,"Cevallos, virrey","Independencia av. y cevallos, virrey",1,-58.38896772,-34.61799615,movil,pasajeros,pasajero_acompañante,masculino,55.0,2016-11-16
2016-0148,1,2016-11-16,22,avenida,,Garmendia av. 4895,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,,
2016-0150,1,2016-11-18,18,avenida,"Taborda, diogenes","Alcorta, amancio av. y taborda, diogenes",4,-58.40879146,-34.65273216,cargas,cargas,pasajero_acompañante,masculino,41.0,2016-11-18
2016-0151,1,2016-11-18,20,calle,,,0,,,peaton,,peaton,,,
2016-0152,1,2016-11-23,21,avenida,Zuviria,"Moreno, perito av. y zuviria",7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,42.0,2016-11-24
2016-0153,1,2016-11-25,15,avenida,Cordoba av.,Araoz y cordoba av.,15,-58.4291709,-34.59485488,peaton,moto,peaton,femenino,83.0,2016-11-25
2016-0154,1,2016-11-26,14,gral paz,,"Paz, gral. av. 15200",8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,38.0,
2016-0155,1,2016-11-26,16,calle,,Madero 900,10,-58.52756365,-34.62772274,peaton,auto,peaton,femenino,29.0,
2016-0156,1,2016-11-26,19,avenida,Dean funes,Independencia av. y dean funes,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,23.0,2016-11-30
2016-0157,1,2016-12-03,6,avenida,,"Justo, juan b. av. 5645",11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,23.0,
2016-0159,1,2016-12-04,7,avenida,Escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,auto,,conductor,masculino,23.0,
2016-0160,1,2016-12-06,5,autopista,,Autopista perito moreno (altura velez sarsfield),9,-58.51927194,-34.63635787,cargas,objeto fijo,conductor,masculino,29.0,2016-12-06
2016-0161,1,2016-12-06,7,avenida,Godoy cruz,Santa fe av. y godoy cruz,14,-58.42525456,-34.57866344,peaton,pasajeros,peaton,masculino,50.0,2016-12-06
2016-0162,1,2016-12-07,5,avenida,Forest av.,"Lacroze, federico av. y forest av.",15,-58.45396573,-34.58518167,peaton,auto,peaton,masculino,38.0,2017-01-01
2016-0163,1,2016-12-10,7,gral paz,Mosconi general av.,"Paz, gral. av. y mosconi general av.",11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,23.0,
2016-0164,1,2016-12-11,6,avenida,"Pomar, gregorio tte. cnel.","La plata av. y pomar, gregorio tte. cnel.",4,-58.42323628,-34.64119105,auto,auto,conductor,masculino,29.0,
2016-0165,1,2016-12-12,8,avenida,,"Garcia, martin av. 300",4,-58.36926144,-34.62841919,bicicleta,pasajeros,ciclista,masculino,37.0,
2016-0168,1,2016-12-13,10,avenida,"Pomar, gregorio tte. cnel.","La plata av. y pomar, gregorio tte. cnel.",4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,43.0,2016-12-13
2016-0169,1,2016-12-15,15,avenida,"Balbin, ricardo, dr. av.","Nuã‘ez y balbin, ricardo, dr. av.",12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,24.0,2016-12-16
2016-0170,1,2016-12-19,17,gral paz,,"Paz, gral. av. 4500",12,-58.50598256,-34.5637998,moto,auto,pasajero_acompañante,masculino,21.0,2016-12-19
2016-0171,1,2016-12-25,19,autopista,Autopista 25 de mayo,"Huergo, ing. av. y autopista 25 de mayo",1,-58.36607137,-34.62150748,moto,moto,conductor,,,
2016-0172,1,2016-12-26,8,avenida,Castro,"Garay, juan de av. y castro",5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,38.0,2016-12-26
2016-0173,1,2016-12-26,19,avenida,San pedrito av.,Directorio av. y san pedrito av.,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,35.0,
2016-0174,1,2016-12-27,0,autopista,,Autopista 25 de mayo,0,,,,,,,,
2016-0175,1,2016-12-27,8,calle,Membrillar,"Falcon, ramon l.,cnel. y membrillar",7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,femenino,,
2016-0176,1,2016-12-28,1,avenida,Paseo colon av.,Belgrano av. y paseo colon av.,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,28.0,
2016-0177,1,2016-12-29,4,calle,,Arenales 3319,14,-58.40966671,-34.58788235,peaton,auto,peaton,femenino,27.0,
2016-0178,1,2016-12-30,16,calle,Saavedra,Republica bolivariana de venezuela y saavedra,3,-58.40288226,-34.61544091,peaton,multiple,peaton,femenino,7.0,
2017-0001,1,2017-01-02,1,avenida,Achupallas,"Justo, juan b. av. y achupallas",11,-58.4659423,-34.61028571,moto,cargas,conductor,masculino,18.0,2017-01-02
2017-0003,1,2017-01-05,3,avenida,Velez sarsfield av.,Olavarria y velez sarsfield av.,4,-58.38957669,-34.64410277,cargas,cargas,pasajero_acompañante,masculino,33.0,2017-01-05
2017-0007,1,2017-01-11,17,calle,Mexico,Lima y mexico,1,-58.3816166,-34.61529543,peaton,multiple,peaton,masculino,48.0,2017-01-11
2017-0008,1,2017-01-16,0,calle,Bonpland,"Cabrera, jose a. y bonpland",14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,29.0,2017-01-16
2017-0009,1,2017-01-16,13,autopista,,Autopista 25 de mayo y boedo av.,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,36.0,2017-01-16
2017-0010,1,2017-01-16,16,avenida,Riglos,Directorio av. y riglos,6,-58.4356488,-34.62828656,moto,auto,conductor,masculino,23.0,2017-01-16
2017-0011,1,2017-01-22,2,gral paz,"Balbin, ricardo, dr. av.","Paz, gral. av. y balbin, ricardo, dr. av.",12,-58.5007381,-34.5497951,moto,objeto fijo,pasajero_acompañante,femenino,29.0,2017-01-22
2017-0012,1,2017-01-24,14,calle,"Taborda, diogenes","Traful y taborda, diogenes",4,-58.40969005,-34.6505529,moto,cargas,conductor,masculino,30.0,2017-01-24
2017-0013,1,2017-01-27,7,avenida,,"Iriarte, gral. av. 3055",4,-58.38972622,-34.65098981,peaton,cargas,peaton,masculino,4.0,2017-01-27
2017-0014,1,2017-01-28,8,avenida,Arias,Donado y arias,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,femenino,22.0,2017-01-28
2017-0015,1,2017-02-02,15,avenida,Callao av.,Cordoba av. y callao av.,2,-58.39293417,-34.59963642,peaton,auto,peaton,masculino,82.0,2017-02-21
2017-0016,1,2017-02-03,5,autopista,,Autopista 25 de mayo km. 8.3,1,-58.38099494,-34.62288231,moto,cargas,conductor,masculino,27.0,2017-02-04
2017-0017,1,2017-02-06,8,avenida,Paraguay,"Justo, juan b. av. y paraguay",14,-58.429012,-34.58095431,moto,auto,conductor,masculino,32.0,2017-02-06
2017-0018,1,2017-02-09,7,gral paz,De los corrales av.,"Paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,30.0,2017-02-09
2017-0021,1,2017-02-18,5,calle,Libertad,Sarmiento y libertad,1,-58.38362373,-34.60509972,moto,pasajeros,conductor,masculino,43.0,2017-02-18
